('ab', 'initio')
('event', 'simulation')
('immune', 'system')
('evolution', 'strategy')
('discrete', 'time')
('quality', 'measure')
('high', 'quality')
('continuous', 'time')
('image', 'reconstruction')
('routing', 'problem')
('iterative', 'method')
('fuzzy', 'rule')
('cost', 'function')
('source', 'software')
('social', 'network')
('range', 'image')
('social', 'science')
('design', 'automation')
('embedded', 'system')
('solution', 'nonlinear')
('decentralized', 'control')
('word', 'recognition')
('feedback', 'control')
('human', 'behavior')
('constraint', 'programming')
('channel', 'state')
('information', 'fusion')
('video', 'game')
('general', 'framework')
('image', 'enhancement')
('transfer', 'learning')
('formation', 'control')
('robust', 'face')
('low', 'energy')
('specification', 'language')
('software', 'component')
('incremental', 'learning')
('parameter', 'identification')
('controller', 'design')
('power', 'grid')
('relay', 'network')
('ensemble', 'learning')
('parallel', 'processing')
('wireless', 'communication')
('randomized', 'algorithm')
('optimal', 'control')
('functional', 'programming')
('CDMA', 'system')
('motion', 'vector')
('science', 'technology')
('teaching', 'learning')
('autonomous', 'mobile')
('object', 'detection')
('fuzzy', 'number')
('static', 'analysis')
('sensor', 'fusion')
('data', 'aggregation')
('stability', 'analysis')
('evolutionary', 'optimization')
('memory', 'access')
('information', 'sharing')
('image', 'encryption')
('computing', 'environment')
('power', 'line')
('systematic', 'approach')
('parallel', 'processor')
('data', 'fusion')
('community', 'structure')
('approximation', 'algorithm')
('design', 'consideration')
('transmission', 'scheme')
('image', 'annotation')
('project', 'scheduling')
('decision', 'feedback')
('hyperspectral', 'data')
('domain', 'knowledge')
('coding', 'scheme')
('expression', 'data')
('timing', 'analysis')
('code', 'generation')
('target', 'recognition')
('random', 'graph')
('data', 'base')
('information', 'extraction')
('cloud', 'service')
('single', 'image')
('dialog', 'system')
('allocation', 'scheme')
('face', 'detection')
('speech', 'signal')
('OFDMA', 'system')
('improving', 'quality')
('area', 'network')
('improve', 'performance')
('dynamic', 'programming')
('decision', 'rule')
('development', 'project')
('conceptual', 'model')
('subspace', 'method')
('robot', 'localization')
('automatic', 'extraction')
('embedded', 'software')
('topic', 'model')
('dynamic', 'spectrum')
('decision', 'process')
('hardware', 'software')
('social', 'interaction')
('automatic', 'construction')
('cellular', 'neural')
('heterogeneous', 'computing')
('formal', 'method')
('sparse', 'linear')
('bayesian', 'network')
('solving', 'linear')
('quantitative', 'analysis')
('matrix', 'equation')
('performance', 'comparison')
('automatic', 'segmentation')
('image', 'sequence')
('parallel', 'program')
('motion', 'tracking')
('performance', 'analysis')
('dynamic', 'load')
('via', 'sparse')
('boundary', 'detection')
('digital', 'signal')
('reduction', 'technique')
('file', 'system')
('analytical', 'model')
('grid', 'environment')
('model', 'driven')
('software', 'architecture')
('time', 'domain')
('numerical', 'method')
('hybrid', 'genetic')
('depth', 'image')
('information', 'security')
('p', 'system')
('local', 'feature')
('inventory', 'model')
('processor', 'architecture')
('software', 'testing')
('queueing', 'system')
('optical', 'communication')
('ad_hoc', 'wireless')
('improving', 'performance')
('multimedia', 'communication')
('optimization', 'problem')
('algorithm', 'solving')
('collaborative', 'learning')
('distributed', 'computing')
('function', 'approximation')
('towards', 'automated')
('theoretical', 'analysis')
('parallel', 'implementation')
('design', 'principle')
('resource', 'planning')
('virtual', 'agent')
('dialogue', 'system')
('data', 'acquisition')
('wireless', 'multimedia')
('design', 'methodology')
('new', 'result')
('parallel', 'computing')
('road', 'network')
('ERP', 'system')
('allocation', 'strategy')
('test', 'set')
('MIMO', 'system')
('video', 'content')
('frequency', 'estimation')
('web', 'document')
('LTE', 'network')
('fast', 'computation')
('sensing', 'image')
('modeling', 'simulation')
('manufacturing', 'system')
('markov', 'process')
('practical', 'approach')
('channel', 'allocation')
('computer', 'game')
('solution', 'equation')
('force', 'control')
('adaptive', 'filter')
('algorithm', 'finding')
('system', 'biology')
('web', 'content')
('radio', 'channel')
('number', 'graph')
('knowledge', 'engineering')
('video', 'quality')
('routing', 'wireless')
('wireless', 'network')
('performance', 'enhancement')
('software', 'quality')
('topology', 'control')
('smart', 'environment')
('modelling', 'simulation')
('conceptual', 'design')
('parallel', 'machine')
('SAR', 'data')
('computer', 'program')
('online', 'game')
('tolerant', 'network')
('chaotic', 'system')
('data', 'compression')
('energy', 'management')
('attack', 'detection')
('power', 'control')
('XML', 'data')
('IP', 'network')
('multimedia', 'service')
('transportation', 'system')
('novel', 'approach')
('exact', 'algorithm')
('automatic', 'identification')
('structure', 'prediction')
('personal', 'information')
('parallel', 'programming')
('clustering', 'algorithm')
('multidimensional', 'data')
('tool', 'support')
('graph', 'matching')
('security', 'protocol')
('information', 'science')
('object', 'segmentation')
('document', 'image')
('access', 'protocol')
('test', 'pattern')
('pattern', 'classification')
('belief', 'network')
('rate', 'control')
('linear', 'time')
('parallel', 'computer')
('digital', 'circuit')
('wireless', 'access')
('location', 'estimation')
('iterative', 'learning')
('multimedia', 'application')
('joint', 'channel')
('wireless', 'link')
('joint', 'optimization')
('multiple', 'sequence')
('control', 'robotic')
('sensor', 'array')
('heuristic', 'algorithm')
('metric', 'learning')
('opportunistic', 'network')
('positioning', 'system')
('service', 'level')
('human', 'visual')
('assistance', 'system')
('knowledge', 'extraction')
('telecommunication', 'network')
('linear', 'equation')
('regression', 'model')
('software', 'evolution')
('content', 'management')
('communication', 'technology')
('storage', 'system')
('image', 'classification')
('information', 'flow')
('new', 'approach')
('projection', 'method')
('distance', 'learning')
('towards', 'automatic')
('image', 'coding')
('feature', 'point')
('tracking', 'multiple')
('machine', 'scheduling')
('planning', 'scheduling')
('power', 'reduction')
('nonlinear', 'system')
('multiprocessor', 'system')
('data', 'driven')
('communication', 'protocol')
('natural', 'image')
('error', 'detection')
('location', 'management')
('computing', 'platform')
('tracking', 'control')
('decomposition', 'method')
('feature', 'map')
('space', 'time')
('scheme', 'wireless')
('rewriting', 'system')
('point', 'process')
('time', 'frequency')
('image', 'quality')
('mobile', 'cloud')
('data', 'exchange')
('routing', 'scheme')
('web', 'application')
('reference', 'model')
('software', 'requirement')
('bayesian', 'approach')
('linear', 'code')
('search', 'tree')
('cloud', 'environment')
('access', 'channel')
('nonlinear', 'programming')
('transmission', 'wireless')
('localization', 'wireless')
('online', 'learning')
('multiple', 'source')
('query', 'optimization')
('search', 'strategy')
('tree', 'search')
('computer', 'simulation')
('human', 'resource')
('distributed', 'database')
('computer', 'interface')
('automatic', 'detection')
('method', 'applied')
('mining', 'technique')
('group', 'communication')
('software', 'process')
('language', 'identification')
('optimal', 'power')
('reactive', 'system')
('communication', 'complexity')
('quality', 'evaluation')
('correlation', 'analysis')
('texture', 'analysis')
('protocol', 'mobile')
('detection', 'tracking')
('stochastic', 'optimization')
('switched', 'system')
('scientific', 'application')
('computer', 'architecture')
('decoding', 'algorithm')
('kernel', 'learning')
('search', 'algorithm')
('multimedia', 'sensor')
('performance', 'measurement')
('video', 'retrieval')
('power', 'flow')
('new', 'class')
('reliability', 'analysis')
('industrial', 'application')
('visual', 'feature')
('student', 'learning')
('information', 'processing')
('control', 'class')
('mobile', 'radio')
('mobile', 'computing')
('numerical', 'study')
('control', 'nonlinear')
('visual', 'search')
('product', 'graph')
('empirical', 'analysis')
('human', 'computer')
('network', 'coding')
('new', 'perspective')
('encryption', 'algorithm')
('solution', 'linear')
('mechanical', 'system')
('database', 'management')
('control', 'strategy')
('learning', 'environment')
('distributed', 'memory')
('linear', 'program')
('surveillance', 'system')
('virtual', 'human')
('convergence', 'analysis')
('industrial', 'control')
('scheduling', 'strategy')
('activity', 'detection')
('data', 'structure')
('efficient', 'computation')
('structure', 'motion')
('linear', 'prediction')
('search', 'space')
('pattern', 'generation')
('fuzzy', 'cognitive')
('performance', 'measure')
('data', 'integration')
('digital', 'image')
('control', 'policy')
('network', 'intrusion')
('programming', 'problem')
('optical', 'network')
('robot', 'motion')
('uncertain', 'data')
('spectral', 'analysis')
('channel', 'coding')
('learning', 'classifier')
('internet', 'service')
('vehicle', 'detection')
('stochastic', 'process')
('user', 'interaction')
('fuzzy', 'neural')
('algorithm', 'applied')
('filter', 'design')
('interface', 'design')
('heterogeneous', 'network')
('large', 'graph')
('method', 'detecting')
('statistical', 'modeling')
('management', 'scheme')
('statistical', 'analysis')
('based', 'rough')
('computational', 'model')
('reality', 'application')
('new', 'product')
('path', 'problem')
('power', 'management')
('tree', 'problem')
('collaborative', 'environment')
('computer', 'interaction')
('novel', 'hybrid')
('robust', 'adaptive')
('projection', 'algorithm')
('resource', 'scheduling')
('global', 'software')
('routing', 'algorithm')
('relational', 'data')
('estimation', 'error')
('delay', 'estimation')
('fast', 'robust')
('video', 'segmentation')
('linear', 'nonlinear')
('brain', 'image')
('scheduling', 'algorithm')
('parameter', 'optimization')
('hybrid', 'approach')
('digital', 'video')
('mobile', 'communication')
('information', 'system')
('support', 'tool')
('open', 'data')
('service', 'quality')
('efficient', 'implementation')
('data', 'protection')
('visual', 'language')
('digital', 'game')
('data', 'set')
('series', 'data')
('convolutional', 'network')
('flow', 'problem')
('clustering', 'technique')
('data', 'transfer')
('information', 'visualization')
('solving', 'problem')
('iterative', 'algorithm')
('service', 'platform')
('model', 'transformation')
('power', 'quality')
('traffic', 'control')
('probabilistic', 'model')
('library', 'information')
('development', 'process')
('heuristic', 'approach')
('evolutionary', 'approach')
('performance', 'assessment')
('binary', 'image')
('inventory', 'system')
('software', 'agent')
('adaptive', 'routing')
('process', 'modelling')
('difference', 'method')
('state', 'information')
('adaptive', 'fuzzy')
('formal', 'approach')
('human', 'robot')
('network', 'topology')
('face', 'image')
('data', 'storage')
('computer', 'security')
('approach', 'detecting')
('performance', 'bound')
('algorithm', 'minimum')
('data', 'sharing')
('data', 'type')
('traffic', 'management')
('circuit', 'design')
('adaptive', 'control')
('feature', 'space')
('scheduling', 'scheme')
('distributed', 'delay')
('home', 'network')
('parallel', 'algorithm')
('open', 'problem')
('RFID', 'system')
('answering', 'system')
('programming', 'environment')
('parallel', 'architecture')
('web', 'technology')
('novel', 'method')
('dynamic', 'simulation')
('memory', 'architecture')
('software', 'tool')
('matching', 'algorithm')
('robotic', 'system')
('distributed', 'parameter')
('new', 'method')
('control', 'mechanism')
('spatial', 'data')
('flow', 'control')
('recommendation', 'system')
('nonlinear', 'dynamic')
('business', 'model')
('design', 'space')
('approach', 'solving')
('video', 'object')
('data', 'visualization')
('flow', 'graph')
('enterprise', 'application')
('development', 'environment')
('formal', 'model')
('support', 'system')
('system', 'subject')
('communication', 'channel')
('clinical', 'data')
('language', 'generation')
('dynamic', 'bayesian')
('design', 'pattern')
('error', 'estimation')
('automatic', 'classification')
('control', 'scheme')
('machine', 'tool')
('dynamical', 'network')
('fast', 'algorithm')
('estimation', 'distribution')
('process', 'mining')
('implementation', 'evaluation')
('allocation', 'wireless')
('learning', 'object')
('grid', 'service')
('trust', 'model')
('allocation', 'problem')
('mobile', 'platform')
('optimization', 'algorithm')
('hardware', 'design')
('acoustic', 'model')
('linear', 'logic')
('kernel', 'method')
('boolean', 'network')
('memory', 'management')
('learning', 'machine')
('probabilistic', 'approach')
('process', 'planning')
('data', 'transmission')
('information', 'theory')
('programming', 'approach')
('linear', 'system')
('engineering', 'process')
('performance', 'prediction')
('scheduling', 'parallel')
('dynamic', 'resource')
('cluster', 'analysis')
('automation', 'system')
('control', 'flexible')
('monitoring', 'system')
('parallel', 'distributed')
('automatic', 'recognition')
('net', 'model')
('process', 'management')
('based', 'wavelet')
('system', 'unknown')
('predictive', 'model')
('theory', 'application')
('complex', 'network')
('evolution', 'algorithm')
('mobility', 'model')
('motion', 'control')
('reduction', 'method')
('vision', 'system')
('dynamic', 'environment')
('method', 'evaluating')
('mobile', 'internet')
('robust', 'control')
('switching', 'network')
('approach', 'designing')
('signal', 'detection')
('multiple', 'object')
('integrated', 'approach')
('research', 'development')
('process', 'modeling')
('efficient', 'parallel')
('content', 'analysis')
('simulation', 'study')
('multimedia', 'information')
('medical', 'data')
('video', 'processing')
('model', 'predicting')
('security', 'architecture')
('design', 'evaluation')
('access', 'network')
('production', 'system')
('statistical', 'model')
('factor', 'analysis')
('numerical', 'analysis')
('automated', 'detection')
('statistical', 'approach')
('efficient', 'algorithm')
('management', 'system')
('service', 'selection')
('parallel', 'robot')
('optimization', 'technique')
('high', 'dynamic')
('algorithm', 'maximum')
('pattern', 'language')
('simulation', 'tool')
('clustering', 'method')
('computational', 'method')
('compression', 'algorithm')
('networked', 'system')
